key,values
Management,"['Detail', 'Time Management', 'Comfort with Numbers', 'Access Management', 'Adaptive Management', 'Affiliate Program Management', 'Asset Management', 'Asset and Data Management', 'Automated Data Management', 'Battery Management', 'Battery Management Issues', 'Battery Management System', 'Bill Management', 'Blocked Broadcast Management', 'Budget Controlling', 'Budget Management', 'Business Management Approach', 'Business Process Management', 'Carbon Management', 'Change Management', 'Change Management Practice', 'Change Management Process', 'Change Management Processes and Controls', 'Change Management Theory', 'Change Request Management', 'Class Management', 'Code Management', 'Collaboration & Management', 'Community Management', 'Complexity Management', 'Concurrent Thread Management', 'Configuration Management', 'Construction Management', 'Continuous Performance Management', 'Cost Management', 'Cost Management & Monitoring', 'Credit Risk Management', 'Crisis Management', 'Customer Management', 'Cyber Risk Management Program', 'Data Flow', 'Data Flow Management', 'Data Management', 'Data Management System', 'Data Management Tool', 'Data Quality Assessment', 'Data Quality Management', 'Data Uncertainty Management', 'Database Control', 'Database Management', 'Debt Management', 'Delay Management', 'Dependency Management', 'Development Risk Management', 'Digital Technology Management', 'Digital Wealth Management', 'Disease Management', 'Distributed Database Management Systems', 'Earned Value Management', 'Effective Security Management', 'Effective Team Management', 'Effective Time Management', 'Efficient Cost Management', 'Energy Hub Management', 'Energy Management', 'Energy Management Technique', 'Expectation Management', 'Expense Management', 'Experience in Business Management', 'File and Folder Management', 'Financial Management', 'Human Resource Management', 'IT Service Management', 'Identity & Access Management', 'Identity Management', 'Image Management', 'Incident Management', 'Information Security Management', 'Inventory Management', 'Layer Management', 'Lead Management', 'Lifecycle Management', 'Liquidity Management', 'Live Event Management', 'Log Management', 'Log Management Tool', 'Management', 'Management Accounting', 'Management Groups', 'Management Strategies', 'Management Support', 'Managing', 'Managing inventory', 'Order Management', 'Order management', 'Patching and Patch Management', 'Portfolio Management', 'Power Management', 'Power Management Systems', 'Privileged Access Management', 'Process Management', 'Product Management', 'Product Management Role', 'Product Management Values', 'Prohibited Items Management', 'Project Administration', 'Project Manager Change Management', 'Project Manager Financial Management', 'Project Manager Resource Management', 'Project Manager Risk Management', 'Project Quality Management', 'Project Risk Management', 'Quality Management', 'Real Estate Management', 'Relationship Management', 'Requirement Change Management', 'Resource Management', 'Risk Averse Stochastic Energy Hub Management', 'Risk Management', 'Risk Management Framework', 'Risk Management Process', 'Routine Management', 'Sales Pipeline Management', 'Schedule Controlling', 'Schedule Management', 'Scope Management', 'Secret Management', 'Security and Compliance Management', 'Shopping Cart Management', 'Skill Management', 'Smart Energy Management', 'Social Media Management', 'Software Management', 'Software Management Tools', 'Source Code Management', 'Startup Management', 'State Management', 'Stock Management', 'Store Management Program', 'Stress Management', 'Survey Management', 'System Management', 'Systems Manager', 'Task Management Skills', 'Tax Invoice Management', 'Tax Management', 'Team Change Management', 'Team Leadership', 'Team Management', 'Team Management Skills', 'Team Management System', 'Technology and Innovation Management Methodologies', 'Test Data Management', 'Test Management Tool', 'Thermal Management Systems', 'Thermal Management of Electric Vehicle Battery Systems', 'ThirdParty Risk Management', 'Threat Indicator Management', 'Time Management', 'Time Management Skills', 'Transaction Management', 'Trust Management', 'User Access Management', 'User Management', 'ValueDriven Business Process Management', 'Warehouse Management', 'WordPress Meta Tag Management', 'Work Management Skill', 'and Management Methodologies','Thermal Management']"
Foundational AI Knowledge,['Foundational AI Knowledge']
API Rate Limiting,['API Rate Limiting']
Jacobians of Linkages,['Jacobians of Linkages']
Wellness Program,['Wellness Program']
Ecosystem Services,['Ecosystem Services']
Security Attack,['Security Attack']
Increased Engagement,['Increased Engagement']
Calculated Columns,['Calculated Columns']
Remembering,['Remembering']
Sales Data,['Sales Data']
Spam,['Spam']
Azure Disk,['Azure Disk']
Quality of Service,['Quality of Service']
NonLinear Panel Models,"['NonLinear Panel Models', 'Nonlinear Panel Data']"
Business Function,['Business Function']
MATLAB®,"['MATLAB', 'MATLAB®', 'Matlab', 'MATLAB / Simulink']"
Office Management,"['Office Administration', 'Office Management']"
Economic Justification,['Economic Justification']
Data System,"['Data System', 'Data Systems']"
Multimode Modelling,['Multimode Modelling']
Survey/ Questionnaire,"['Questionnaire', 'Survey/ Questionnaire']"
Hosting,['Hosting']
Exhaustible Resources,['Exhaustible Resources']
Analytics and Reporting System,"['Analytics and Reporting System', 'analytics and reporting']"
Time tracking,['Time tracking']
Email Threats,['Email Threats']
Alternative Texts,['Alternative Texts']
Presentment,['Presentment']
Speaking Pace,['Speaking Pace']
Stakeholder Engagement,"['Communication / Stakeholder Management','Stakeholder Engagement', 'Stakeholder Engagement Level', 'Stakeholder Management', 'Stakeholder Management Skill', 'Stakeholder Partnership', 'Stakeholders']"
Hybrid/MultiCloud Resources,"['Hybrid/MultiCloud Resources', 'Multicloud Resources']"
Prefix Removal,['Prefix Removal']
Interface Creation,['Interface Creation']
Design for Assembly Methodology,"['DFA (Design for Assembly)', 'Design for Assembly Methodology']"
Core PWA Concepts,['Core PWA Concepts']
Work-Based Placement,['Work-Based Placement']
Design pattern for data access,['Design pattern for data access']
Lithography,['Lithography']
Design Creation,['Design Creation']
Construction Process,['Construction Process']
Efficient Decision Making,"['Accurate Decision Making', 'Effective Business Decision Making', 'Effective Decision Making', 'Efficient Decision Making']"
Correct Methodology,['Correct Methodology']
Software Development Project,['Software Development Project']
Effective Prompt,['Effective Prompt']
Hierarchy,['Hierarchy']
Visualizing Data Effectively,['Visualizing Data Effectively']
Goals,"['Goal', 'Goals']"
ROS Pluginlib,"['Creating ROS Plugins', 'ROS Pluginlib', 'ROS Plugins', 'ROS pluginlib']"
Robot Parts,['Robot Parts']
Service Blueprint,['Service Blueprint']
Hidden Field,['Hidden Field']
Disruptive Innovation,['Disruptive Innovation']
Initial Server Response Time,['Initial Server Response Time']
Logic Like Representation,['Logic Like Representation']
Systematic Data Structure,['Systematic Data Structure']
Thinking and Analysis,"['Analysis Thinking', 'Thinking and Analysis']"
Product Ideation,"['Product Idea Generation', 'Product Ideation']"
Ensure Safe Stock Storage,['Ensure Safe Stock Storage']
Semi-Structured Data,"['Semi-Structured Data', 'SemiStructured Data']"
Document Assistance,['Document Assistance']
Run,['Run']
Sales Strategy Adjustment,['Sales Strategy Adjustment']
Concept II: Node Port,['Concept II: Node Port']
Contextual Inquiry,['Contextual Inquiry']
Customer Complaints,['Customer Complaints']
Approval App,['Approval App']
Experience in Enterprise Architecture Development,['Experience in Enterprise Architecture Development']
Targeting,['Targeting']
Direct Controls,['Direct Controls']
Automatic Table of Contents,['Automatic Table of Contents']
Gutters,['Gutters']
Human Behavior Analysis,"['Behavior Analysis', 'Human Behavior Analysis']"
Microsoft Entra ID,['Microsoft Entra ID']
Statics,['Statics']
Brainology: Our Brain Can be Developed,['Brainology: Our Brain Can be Developed']
System Analysis and Design,['System Analysis and Design']
Complex Computer Science Terminology,['Complex Computer Science Terminology']
Test Method,['Test Method']
Realtime,['Realtime']
Brand Image,['Brand Image']
Fixed Mindset,['Fixed Mindset']
Data Origin,['Data Origin']
Ensure Accessibility,['Ensure Accessibility']
Innovative Investigations,['Innovative Investigations']
User Simulation,['User Simulation']
Computer Vision,"['Computational Vision', 'Computer Vision']"
Discount Code Configuration,['Discount Code Configuration']
Psychological Factors,['Psychological Factors']
Device Breakpoints,['Device Breakpoints']
Apple Pencil,['Apple Pencil']
Employee Training,['Employee Training']
Text Formatting,"['Document formatting', 'Formatting', 'Text Formatting']"
OpenSource development,['OpenSource development']
State List Drawable,['State List Drawable']
Permission Specification,['Permission Specification']
Service and Repair Programs,['Service and Repair Programs']
TikTok Advertising,['TikTok Advertising']
Help Seeking Skill,['Help Seeking Skill']
Type conversions,['Type conversions']
ICMP Protocol,['ICMP Protocol']
Hidden Markov Models,"['Hidden Markov Models', 'Markov Models', 'Markov State Model']"
Charging,"['Charging', 'Charging Systems','EV Charging Systems']"
Estimators API,['Estimators API']
Interesting Content,['Interesting Content']
Using <a> & <img> tags,['Using <a> & <img> tags']
Pseudo Elements,"['Pseudo Elements', 'Pseudoelement']"
Analysis of Economic Data,['Analysis of Economic Data']
Prepare Areas,['Prepare Areas']
Animation Implementation,['Animation Implementation']
Convenience,['Convenience']
Foils,['Foils']
Knowledge Sharing,['Knowledge Sharing']
Climate Action,['Climate Action']
Azure Resources,"['Azure Resource', 'Azure Resources']"
Dependencies,['Dependencies']
Role and Responsibilities,['Role and Responsibilities']
Advanced Skills,['Advanced Skills']
Displaying Data,['Displaying Data']
Institute of Health & Social Care Management,['Institute of Health & Social Care Management']
Precommit Stage,['Precommit Stage']
Analyze the Impact,['Analyze the Impact']
Urban Sketch,"['Urban Sketch', 'Urban Sketching']"
Oracle,['Oracle']
Pattern,"['Pattern', 'Patterns', 'pattern making']"
Disciplinary Actions,['Disciplinary Actions']
Subnets,['Subnets']
HighReliability,['HighReliability']
Compressed Sensing,['Compressed Sensing']
Input Data,"['Data Entry', 'Data Input', 'Input', 'Input Data']"
Case,['Case']
Independent Events,['Independent Events']
ER Diagram,['ER Diagram']
lineargradient,['lineargradient']
Discrepancy Resolution,"['Discrepancy Resolution', 'Financial Discrepancy Resolution', 'Payment Discrepancy Resolution']"
LocalCloud Collaborative Mode,['LocalCloud Collaborative Mode']
Chrome Driver,['Chrome Driver']
Dimensionality Reduction,"['Dimension Reduction', 'Dimensionality Reduction']"
Android Project Structure,['Android Project Structure']
Scope,"['Scope', 'Scope Definition']"
Setup a phishing site,['Setup a phishing site']
Private Equity,['Private Equity']
ggplot2,"['ggplot', 'ggplot2']"
Pass Statement,['Pass Statement']
Quizzes & Solutions,['Quizzes & Solutions']
Credit Risk,['Credit Risk']
Bruteforce Attacks,['Bruteforce Attacks']
Powertrain Component Sizing,['Powertrain Component Sizing']
Mobile Security,['Mobile Security']
Storage Technologies,['Storage Technologies']
APK,['APK']
Manual Data Collection,['Manual Data Collection']
Peering,['Peering']
Latest Advances,['Latest Advances']
Formula,['Formula']
Secrets Manager,['Secrets Manager']
Absolute,['Absolute']
Measures,"['Measurement', 'Measurements', 'Measures']"
Review and Test,['Review and Test']
Test Suite,['Test Suite']
Personas,['Personas']
Net Radiation Flux,['Net Radiation Flux']
Attack,['Attack']
Thirdparty Data,"['Secondparty Data', 'Third Party Data', 'ThirdParty Data', 'Thirdparty Data']"
Misinformation,"['Disinformation', 'Misinformation']"
Pitfalls,['Pitfalls']
Checking Substring Occurrence,['Checking Substring Occurrence']
Execution Speed,['Execution Speed']
Poverty,['Poverty']
Meeting Room Bookings,['Meeting Room Bookings']
Initiating,['Initiating']
GPT for Docs,['GPT for Docs']
Data Structures,"['Data Structure', 'Data Structures']"
GroupBy,['GroupBy']
Optimum Performance,['Optimum Performance']
Accounting System Improvements,['Accounting System Improvements']
Challenging Goals,['Challenging Goals']
Security Operations,"['Security Operation', 'Security Operations']"
Precision Medicine,['Precision Medicine']
Blueprint,"['Blueprint', 'blueprint reading', 'blueprint reading']"
ScikitLearn,"['ScikitLearn', 'Scikitlearn', 'scikitlearn']"
cURL,['cURL']
Microprocessor,['Microprocessor']
Live Polling,['Live Polling']
Principles and components of data design,['Principles and components of data design']
Prepare and Present,['Prepare and Present']
IoT,"['IoT', 'IoT System', 'IoT / Wearable Technology']"
Exploratory Data Analysis,"['Exploratory Data Analysis', 'Exploratory Data Analysis with Excel']"
Insurance Processes,['Insurance Processes']
GCP,['GCP']
System Requirements,['System Requirements']
Modify database schemas,['Modify database schemas']
Flexbox,"['Flexbox', 'Flexbox Item', 'Flexbox Properties', 'Getting Dicey with Flexbox', 'Introducing Flexbox']"
Low Carbon Transformation,['Low Carbon Transformation']
IT Knowledge,['IT Knowledge']
Total Hours,['Total Hours']
Probabilistic Models,['Probabilistic Models']
Startup Valuation,['Startup Valuation']
Sequences of JOINs,['Sequences of JOINs']
Filtering,"['Advanced Filter', 'Bayes Filter', 'CSS Filter', 'Collaborative Filtering', 'Content Filtering', 'FILTER', 'FILTER / SORT / SORTBY', 'Filter', 'Filtering', 'Filtering Groups', 'Filtering Rows', 'Finding Number of Rows by Filtering Text', 'Kalman Filter', 'Kalman Filtering', 'Particle Filter', 'Particle Filtering', 'Quality Filtering', 'Sigmapoint Filter', 'Spam Filter', 'Web Filtering', 'Wiener Filtering', 'filter']"
Complexity,['Complexity']
Data,['Data']
Stats Functions,['Stats Functions']
Self Learning AI Builder OCR Text Structured,['Self Learning AI Builder OCR Text Structured']
Input Box,['Input Box']
Prototype Design Framework,['Prototype Design Framework']
Write Content,['Write Content']
AR/VR Technology,"['AR/VR/Immersive Content Literacy','Vr Technology', 'AR/VR Technology']"
Maintainability,['Maintainability']
Complete Pomodoro app,['Complete Pomodoro app']
Security Awareness,['Security Awareness']
Drag & Drop,['Drag & Drop']
Bar Graph,['Bar Graph']
Independent Web Creation,['Independent Web Creation']
LEN,"['LEN', 'Len']"
LOWER,['LOWER']
HighVoltage Pathway,['HighVoltage Pathway']
Mark Work,['Mark Work']
Rising Returns of Education,['Rising Returns of Education']
Exercise: Text Style,['Exercise: Text Style']
Organized data formats,['Organized data formats']
Update Clients,['Update Clients']
BIBFRAME,['BIBFRAME']
Text,"['TEXT', 'Text']"
Selling Precautions,['Selling Precautions']
Powertrain,['Powertrain']
Need to Know and Least Privilege,['Need to Know and Least Privilege']
Predictive Decision Tool,['Predictive Decision Tool']
Value Propositions,['Value Propositions']
PlugIn Hybrid,['PlugIn Hybrid']
Sensing,['Sensing']
Installing Web Scraper,['Installing Web Scraper']
Cognitive Applications,['Cognitive Applications']
Frame and Constraints,['Frame and Constraints']
Insurance Fraud,['Insurance Fraud']
Memory Work,['Memory Work']
Function Arguments,['Function Arguments']
Structural Patterns,['Structural Patterns']
Network Hardening,['Network Hardening']
Creational Patterns,['Creational Patterns']
Stored Procedures,['Stored Procedures']
Positive Electrode,['Positive Electrode']
Best Process Candidates,['Best Process Candidates']
Order Fulfillment,['Order Fulfillment']
Computers in Schools,['Computers in Schools']
Increase Profit,['Increase Profit']
Connected By Design,['Connected By Design']
Manage Labour,['Manage Labour']
MECE Principle,['MECE Principle']
Masking,['Masking']
SMART Goal Setting,"['SMART Goal Setting', 'goal setting and tracking']"
Turbine Blades,['Turbine Blades']
CAD Software,"['CAD', 'CAD Software', 'CAD/CAM Technology', 'CAD Design', 'CAD Software Use', 'CAD tools', 'Cam Technology']"
4WID,['4WID']
Prioritizing Customers,['Prioritizing Customers']
Regional Insights,['Regional Insights']
Sustainable Community,"['Sustainable Communities', 'Sustainable Community']"
Classical Inference,['Classical Inference']
Payment Systems,['Payment Systems']
DataMining Process,"['datamining techniques', 'DataMining Process']"
Variants,['Variants']
Supply Response,['Supply Response']
Human Computer Interaction (HCI),['Human Computer Interaction (HCI)']
Panel Data,"['Panel Data', 'Panel Data Analysis']"
ETL/ELT,"['ETL', 'ETL Architecture', 'Extract', 'Transform', 'Load data processes', 'Implement ETL/ELT processes for structured and unstructured data', 'ETL Pipeline', 'ETL/ELT', 'Visual ETL Job Creation', 'Build ETL processes', 'ETL Pipelines', 'Maintain ETL processes']"
Deliberate Behavior,['Deliberate Behavior']
Association Rules,['Association Rules']
Robotic Architecture,['Robotic Architecture']
Radiation Transfer,['Radiation Transfer']
Work Breakdown Structure (WBS),['Work Breakdown Structure (WBS)']
LowFidelity Wireframe,['LowFidelity Wireframe']
Metrics Analysis,['Metrics Analysis']
Portfolio,['Portfolio']
Interactive Dynamics,['Interactive Dynamics']
Deployment,"['Deploy', 'Deploying', 'Deployment']"
RecyclerView,['RecyclerView']
Children and Young People,['Children and Young People']
Boosting,['Boosting']
Managing Cart using Context,['Managing Cart using Context']
Employee Attendance Data,['Employee Attendance Data']
User Journeys,['User Journeys']
GAN,['GAN']
Scratch,['Scratch']
Certificate Issuing Process,['Certificate Issuing Process']
Efficient Writing,['Efficient Writing']
Sales Methodology,"['Sales Methodology', 'sales techniques', 'sales techniques']"
System Security Engineering,['System Security Engineering']
Dumpster Diving,['Dumpster Diving']
Project Manager Skills,"['Project Manager Competencies', 'Project Manager Skills', 'Project Manager Skills Development']"
Data Exchange,['Data Exchange']
Policy Framework,['Policy Framework']
Momentum,['Momentum']
Review funding,['Review funding']
Pay Stub,['Pay Stub']
Responsive Classes,['Responsive Classes']
Public International Law,['Public International Law']
Local Storage,['Local Storage']
Shareholder Activism,['Shareholder Activism']
Financial Regulations,"['Financial Regulations', 'Financial Regulations and Compliance']"
Ggsheet,['Ggsheet']
Smart Grids,"['Smart Grid', 'Smart Grids']"
Product Development Workflow,['Product Development Workflow']
Backpropagation,['Backpropagation']
Energy Saving,"['Energy Saving', 'Environmental and Energy Savings']"
Site Inspection,['Site Inspection']
Number Guessing Program,['Number Guessing Program']
AES Encryption,['AES Encryption']
Assess Patients,"['Assess Patients', 'Assess patient conditions', 'patient assessment']"
Funge,['Funge']
Business Skills,['Business Skills']
Interaction with Environment,"['Environmental Interaction', 'Interaction with Environment']"
Difficult to Use,['Difficult to Use']
Boxs Properties Style Elements,['Boxs Properties Style Elements']
Microorganisms,"['Microorganisms', 'microbiology']"
RAPTOR,['RAPTOR']
Using data for analysis,"['Preparing data for analysis', 'Using data for analysis']"
Idea Testing,['Idea Testing']
Lettering Creation,"['Creating Artistic Lettering', 'Lettering Creation']"
Mouse,['Mouse']
Deploying and Scaling,['Deploying and Scaling']
Outliers,['Outliers']
Transaction Data Entry,['Transaction Data Entry']
Identify Services,['Identify Services']
Reliable Source,['Reliable Source']
UiPath,['UiPath']
Business Answers,['Business Answers']
Video Setting,['Video Setting']
Security Device,['Security Device']
Impact Presentation,['Impact Presentation']
forwardRef,['forwardRef']
SelfImprovement,['SelfImprovement']
Input/Output Transformation,['Input/Output Transformation']
Lossy Compression,['Lossy Compression']
Power Market Bidding Strategy,['Power Market Bidding Strategy']
Assumptions/Preconditions,['Assumptions/Preconditions']
Service Design Strategies,['Service Design Strategies']
Moment,['Moment']
Missing Data,['Missing Data']
Tax Invoice,"['Invoice', 'Tax Invoice']"
Level Generation,['Level Generation']
Actionable Processes,['Actionable Processes']
Role Playing,['Role Playing']
Security Requirements,['Security Requirements']
Workbox,['Workbox']
Project Manager Responsibilities,['Project Manager Responsibilities']
Abstract Concepts,['Abstract Concepts']
Financial Systems,['Financial Systems']
Operational Expense,['Operational Expense']
Withholding Tax Certificate,['Withholding Tax Certificate']
Program Components,['Program Components']
